Filename,Step,Prompt,Model,Width,Height,clip
image_512x512_step1_prompt1.png,1,"A sunset over a futuristic city with flying cars, in 8k resolution",sd-turbo,512,512,19.748863220214844
image_512x512_step1_prompt2.png,1,"A peaceful forest with a small waterfall and vibrant wildlife, photorealistic",sd-turbo,512,512,31.448551177978516
image_512x512_step1_prompt3.png,1,"A cyberpunk city street with neon lights and rain-soaked pavement, 8k",sd-turbo,512,512,31.44744873046875
image_512x512_step1_prompt4.png,1,An astronaut floating in deep space with the Earth visible in the background,sd-turbo,512,512,31.113239288330078
image_512x512_step1_prompt5.png,1,"A majestic dragon soaring above snowy mountains, high detail",sd-turbo,512,512,33.72966766357422
image_512x512_step1_prompt6.png,1,"A serene lakeside cabin in the woods at sunrise, photorealistic",sd-turbo,512,512,29.751386642456055
image_512x512_step1_prompt7.png,1,A bustling medieval marketplace filled with merchants and townsfolk,sd-turbo,512,512,33.083106994628906
image_512x512_step1_prompt8.png,1,A steampunk-inspired airship flying through a cloudy sky,sd-turbo,512,512,25.218961715698242
image_512x512_step1_prompt9.png,1,A mystical underwater city with glowing plants and sea creatures,sd-turbo,512,512,26.17521095275879
image_512x512_step1_prompt10.png,1,"A beautiful fairy sitting on a mushroom in a magical forest, ultra detailed",sd-turbo,512,512,30.929302215576172
image_512x512_step1_prompt11.png,1,A futuristic robotic soldier in a post-apocalyptic wasteland,sd-turbo,512,512,27.196060180664062
image_512x512_step1_prompt12.png,1,"An ancient temple hidden in a dense jungle, mysterious and atmospheric",sd-turbo,512,512,31.289865493774414
image_512x512_step1_prompt13.png,1,A vibrant carnival scene at night with colorful lights and rides,sd-turbo,512,512,28.92597007751465
image_512x512_step1_prompt14.png,1,A vast desert landscape with towering sand dunes and a lone traveler,sd-turbo,512,512,26.255693435668945
image_512x512_step1_prompt15.png,1,"A bustling futuristic cityscape with skyscrapers and flying vehicles, in 8k",sd-turbo,512,512,21.75779151916504
image_512x512_step1_prompt16.png,1,"A tranquil Zen garden with stone paths, cherry blossoms, and a pond",sd-turbo,512,512,32.4100227355957
image_512x512_step1_prompt17.png,1,A magical winter wonderland with snow-covered trees and glowing lights,sd-turbo,512,512,29.43914794921875
image_512x512_step1_prompt18.png,1,A futuristic spaceship interior with advanced technology and glowing screens,sd-turbo,512,512,26.610782623291016
image_512x512_step1_prompt19.png,1,A vibrant alien planet with strange plants and two suns in the sky,sd-turbo,512,512,31.762229919433594
image_512x512_step1_prompt20.png,1,A rustic old library filled with ancient books and a cozy fireplace,sd-turbo,512,512,23.704069137573242
image_512x512_step1_prompt21.png,1,"A golden palace floating in the clouds with waterfalls cascading down, highly detailed",sd-turbo,512,512,31.231611251831055
image_512x512_step1_prompt22.png,1,"An ancient wizard casting a spell in a dark, mystical cave, glowing effects",sd-turbo,512,512,30.064393997192383
image_512x512_step1_prompt23.png,1,A dystopian cityscape with abandoned skyscrapers and overgrown vegetation,sd-turbo,512,512,29.078262329101562
image_512x512_step1_prompt24.png,1,"A vibrant coral reef teeming with colorful fish and glowing sea life, photorealistic",sd-turbo,512,512,32.5820198059082
image_512x512_step1_prompt25.png,1,"A lone samurai standing on a hill under a blood-red sunset, atmospheric",sd-turbo,512,512,27.09370231628418
image_512x512_step1_prompt26.png,1,"A cozy treehouse hidden deep in a lush, green forest, detailed and warm",sd-turbo,512,512,23.422039031982422
image_512x512_step1_prompt27.png,1,A futuristic hover train speeding through a neon-lit urban landscape,sd-turbo,512,512,26.588764190673828
image_512x512_step1_prompt28.png,1,"A knight in shining armor standing in a moonlit forest, magical atmosphere",sd-turbo,512,512,33.67146682739258
image_512x512_step1_prompt29.png,1,"A massive spaceship hovering over a futuristic alien city, in 8k resolution",sd-turbo,512,512,21.553857803344727
image_512x512_step1_prompt30.png,1,A hidden elven village surrounded by giant trees and glowing lanterns,sd-turbo,512,512,28.453516006469727
image_512x512_step1_prompt31.png,1,A Viking longship sailing through icy waters with snow-capped mountains in the background,sd-turbo,512,512,27.99521255493164
image_512x512_step1_prompt32.png,1,A magical desert night with a star-filled sky and ancient ruins partially buried in sand,sd-turbo,512,512,28.47905921936035
image_512x512_step1_prompt33.png,1,"A time traveler standing in front of a glowing portal, surrounded by gears and energy",sd-turbo,512,512,33.369110107421875
image_512x512_step1_prompt34.png,1,"An enchanted book emitting light as it hovers above an ancient altar, mystical",sd-turbo,512,512,32.59635925292969
image_512x512_step1_prompt35.png,1,"A futuristic battle scene with robotic warriors and flying drones, cinematic style",sd-turbo,512,512,25.988792419433594
image_512x512_step1_prompt36.png,1,"A pirate ship battling a sea monster under stormy skies, epic and dramatic",sd-turbo,512,512,28.217222213745117
image_512x512_step1_prompt37.png,1,A snowy village illuminated by lanterns during a festive winter night,sd-turbo,512,512,29.12569236755371
image_512x512_step1_prompt38.png,1,An ancient desert temple with towering statues and mysterious carvings,sd-turbo,512,512,32.219505310058594
image_512x512_step1_prompt39.png,1,"A beautiful elf archer in a moonlit forest aiming her glowing bow, ultra-detailed",sd-turbo,512,512,32.0158805847168
image_512x512_step1_prompt40.png,1,A dark sorcerer summoning a dragon in a ruined castle under a stormy sky,sd-turbo,512,512,28.492637634277344
image_512x512_step1_prompt41.png,1,A bustling cyberpunk marketplace with androids and glowing holographic displays,sd-turbo,512,512,33.03129959106445
image_512x512_step1_prompt42.png,1,"An alien spacecraft hovering above a quiet rural farm at night, mysterious",sd-turbo,512,512,30.212196350097656
image_512x512_step1_prompt43.png,1,A lush jungle filled with bioluminescent plants and ancient ruins,sd-turbo,512,512,28.441404342651367
image_512x512_step1_prompt44.png,1,A medieval castle on a cliffside overlooking a vast ocean at sunrise,sd-turbo,512,512,20.968046188354492
image_512x512_step1_prompt45.png,1,A glowing phoenix rising from ashes in a fiery and dramatic scene,sd-turbo,512,512,30.6218318939209
image_512x512_step1_prompt46.png,1,A high-tech laboratory with scientists working on advanced robotic prototypes,sd-turbo,512,512,23.100919723510742
image_512x512_step1_prompt47.png,1,An astronaut exploring a colorful alien landscape filled with strange rock formations,sd-turbo,512,512,28.52937126159668
image_512x512_step1_prompt48.png,1,"A serene monastery perched atop a mountain, surrounded by clouds",sd-turbo,512,512,16.780393600463867
image_512x512_step1_prompt49.png,1,A mystical cave with glowing crystals and a hidden underground lake,sd-turbo,512,512,30.475725173950195
image_512x512_step1_prompt50.png,1,A futuristic underwater research station surrounded by exotic marine life and glowing lights,sd-turbo,512,512,20.83043098449707
image_512x512_step2_prompt1.png,2,"A sunset over a futuristic city with flying cars, in 8k resolution",sd-turbo,512,512,28.295364379882812
image_512x512_step2_prompt2.png,2,"A peaceful forest with a small waterfall and vibrant wildlife, photorealistic",sd-turbo,512,512,32.26113510131836
image_512x512_step2_prompt3.png,2,"A cyberpunk city street with neon lights and rain-soaked pavement, 8k",sd-turbo,512,512,31.79108238220215
