Filename,Step,Prompt,Model,Width,Height,clip
image_512x512_step1_prompt1.png,1,"A sunset over a futuristic city with flying cars, in 8k resolution",sdxl-turbo,512,512,24.68109703063965
image_512x512_step1_prompt2.png,1,"A peaceful forest with a small waterfall and vibrant wildlife, photorealistic",sdxl-turbo,512,512,31.690183639526367
image_512x512_step1_prompt3.png,1,"A cyberpunk city street with neon lights and rain-soaked pavement, 8k",sdxl-turbo,512,512,32.433258056640625
image_512x512_step1_prompt4.png,1,An astronaut floating in deep space with the Earth visible in the background,sdxl-turbo,512,512,25.974699020385742
image_512x512_step1_prompt5.png,1,"A majestic dragon soaring above snowy mountains, high detail",sdxl-turbo,512,512,32.15813446044922
image_512x512_step1_prompt6.png,1,"A serene lakeside cabin in the woods at sunrise, photorealistic",sdxl-turbo,512,512,30.677780151367188
image_512x512_step1_prompt7.png,1,A bustling medieval marketplace filled with merchants and townsfolk,sdxl-turbo,512,512,29.969158172607422
image_512x512_step1_prompt8.png,1,A steampunk-inspired airship flying through a cloudy sky,sdxl-turbo,512,512,21.055347442626953
image_512x512_step1_prompt9.png,1,A mystical underwater city with glowing plants and sea creatures,sdxl-turbo,512,512,25.58247947692871
image_512x512_step1_prompt10.png,1,"A beautiful fairy sitting on a mushroom in a magical forest, ultra detailed",sdxl-turbo,512,512,34.21495819091797
image_512x512_step1_prompt11.png,1,A futuristic robotic soldier in a post-apocalyptic wasteland,sdxl-turbo,512,512,30.58193016052246
image_512x512_step1_prompt12.png,1,"An ancient temple hidden in a dense jungle, mysterious and atmospheric",sdxl-turbo,512,512,32.17679977416992
image_512x512_step1_prompt13.png,1,A vibrant carnival scene at night with colorful lights and rides,sdxl-turbo,512,512,32.33180618286133
image_512x512_step1_prompt14.png,1,A vast desert landscape with towering sand dunes and a lone traveler,sdxl-turbo,512,512,26.346477508544922
image_512x512_step1_prompt15.png,1,"A bustling futuristic cityscape with skyscrapers and flying vehicles, in 8k",sdxl-turbo,512,512,22.612808227539062
image_512x512_step1_prompt16.png,1,"A tranquil Zen garden with stone paths, cherry blossoms, and a pond",sdxl-turbo,512,512,28.469404220581055
image_512x512_step1_prompt17.png,1,A magical winter wonderland with snow-covered trees and glowing lights,sdxl-turbo,512,512,30.293567657470703
image_512x512_step1_prompt18.png,1,A futuristic spaceship interior with advanced technology and glowing screens,sdxl-turbo,512,512,26.519378662109375
image_512x512_step1_prompt19.png,1,A vibrant alien planet with strange plants and two suns in the sky,sdxl-turbo,512,512,30.48244285583496
image_512x512_step1_prompt20.png,1,A rustic old library filled with ancient books and a cozy fireplace,sdxl-turbo,512,512,30.422883987426758
image_512x512_step1_prompt21.png,1,"A golden palace floating in the clouds with waterfalls cascading down, highly detailed",sdxl-turbo,512,512,23.925920486450195
image_512x512_step1_prompt22.png,1,"An ancient wizard casting a spell in a dark, mystical cave, glowing effects",sdxl-turbo,512,512,34.15800857543945
